Região Geográfica,Unidade da Federação,Faixa de Proeficiência,Total_Desempenho,Idade,Quantidade,area
Norte,Pará,0 -100,32.0,17,2.0,Redação
Norte,Pará,101-200,158.0,17,19.0,Redação
Norte,Pará,201-300,3382.0,17,364.0,Redação
Norte,Pará,301-400,13218.0,17,1631.0,Redação
Norte,Pará,401-500,21912.0,17,3010.0,Redação
Norte,Pará,501-600,35281.0,17,4872.0,Redação
Norte,Pará,601-700,29126.0,17,4990.0,Redação
Norte,Pará,701-800,17337.0,17,3513.0,Redação
Norte,Pará,801-900,17979.0,17,4144.0,Redação
Norte,Pará,901-1.000,15327.0,17,3723.0,Redação
Norte,Pará,>1.001,3.0,17,1.0,Redação
Norte,Amapá,0 -100,3.0,17,0.0,Redação
Norte,Amapá,101-200,14.0,17,0.0,Redação
Norte,Amapá,201-300,346.0,17,29.0,Redação
Norte,Amapá,301-400,1545.0,17,147.0,Redação
Norte,Amapá,401-500,2666.0,17,330.0,Redação
Norte,Amapá,501-600,4675.0,17,607.0,Redação
Norte,Amapá,601-700,3661.0,17,584.0,Redação
Norte,Amapá,701-800,1957.0,17,392.0,Redação
Norte,Amapá,801-900,1837.0,17,473.0,Redação
Norte,Amapá,901-1.000,1437.0,17,326.0,Redação
Norte,Amapá,>1.001,0.0,17,0.0,Redação
Norte,Tocantis,0 -100,3.0,17,0.0,Redação
Norte,Tocantis,101-200,23.0,17,5.0,Redação
Norte,Tocantis,201-300,449.0,17,117.0,Redação
Norte,Tocantis,301-400,1859.0,17,452.0,Redação
Norte,Tocantis,401-500,2872.0,17,704.0,Redação
Norte,Tocantis,501-600,4847.0,17,1285.0,Redação
Norte,Tocantis,601-700,4566.0,17,1248.0,Redação
Norte,Tocantis,701-800,2770.0,17,815.0,Redação
Norte,Tocantis,801-900,2867.0,17,812.0,Redação
Norte,Tocantis,901-1.000,1970.0,17,524.0,Redação
Norte,Tocantis,>1.001,1.0,17,1.0,Redação
Nordeste,Maranhão,0 -100,19.0,17,1.0,Redação
Nordeste,Maranhão,101-200,132.0,17,11.0,Redação
Nordeste,Maranhão,201-300,2543.0,17,425.0,Redação
Nordeste,Maranhão,301-400,10135.0,17,1871.0,Redação
Nordeste,Maranhão,401-500,15792.0,17,2996.0,Redação
Nordeste,Maranhão,501-600,24775.0,17,4708.0,Redação
Nordeste,Maranhão,601-700,21221.0,17,4372.0,Redação
Nordeste,Maranhão,701-800,12992.0,17,3077.0,Redação
Nordeste,Maranhão,801-900,13676.0,17,3567.0,Redação
